#,Company,Symbol,Weight,Price,Change
1,Microsoft Corporation,MSFT,3.656475,   111.54,0.57 (0.51%)
2,Apple Inc.,AAPL,3.327001,   174.88,1.91 (1.10%)
3,Amazon.com Inc.,AMZN,2.857415,   1,635.00,3.44 (0.21%)
4,Berkshire Hathaway Inc. Class B,BRK.B,1.675087,   204.43,2.52 (1.25%)
5,Facebook Inc. Class A,FB,1.658697,   164.91,3.02 (1.87%)
6,Johnson & Johnson,JNJ,1.562275,   137.04,1.34 (0.99%)
7,JPMorgan Chase & Co.,JPM,1.489438,   107.08,2.08 (1.98%)
8,Alphabet Inc. Class C,GOOG,1.456712,   1,110.22,-0.15 (-0.01%)
9,Alphabet Inc. Class A,GOOGL,1.423394,   1,117.32,0.76 (0.07%)
10,Exxon Mobil Corporation,XOM,1.415816,   78.73,0.31 (0.40%)
11,Bank of America Corp,BAC,1.132445,   29.57,0.49 (1.67%)
12,UnitedHealth Group Incorporated,UNH,1.095780,   266.20,-0.91 (-0.34%)
13,Visa Inc. Class A,V,1.093407,   146.21,0.34 (0.23%)
14,Procter & Gamble Company,PG,1.065014,   99.82,-0.43 (-0.43%)
15,Pfizer Inc.,PFE,1.059413,   43.19,0.23 (0.54%)
16,Intel Corporation,INTC,1.021908,   53.20,0.71 (1.34%)
17,Verizon Communications Inc.,VZ,1.002934,   56.89,-0.04 (-0.06%)
18,Chevron Corporation,CVX,0.972876,   120.00,0.61 (0.51%)
19,AT&T Inc.,T,0.966684,   31.14,-0.02 (-0.05%)
20,Cisco Systems Inc.,CSCO,0.961209,   50.85,0.74 (1.47%)
21,Boeing Company,BA,0.955337,   427.75,3.70 (0.87%)
22,Home Depot Inc.,HD,0.927044,   191.27,-1.12 (-0.58%)
23,Merck & Co. Inc.,MRK,0.896278,   80.26,-0.52 (-0.64%)
24,Wells Fargo & Company,WFC,0.886211,   50.07,1.05 (2.14%)
25,Mastercard Incorporated Class A,MA,0.862509,   223.34,0.02 (0.01%)
26,Comcast Corporation Class A,CMCSA,0.748266,   38.57,-0.04 (-0.10%)
27,Coca-Cola Company,KO,0.739670,   45.02,-0.26 (-0.57%)
28,Walt Disney Company,DIS,0.731592,   114.29,-0.96 (-0.83%)
29,PepsiCo Inc.,PEP,0.702854,   116.38,-0.38 (-0.33%)
30,Netflix Inc.,NFLX,0.675030,   364.35,1.33 (0.37%)
31,Citigroup Inc.,C,0.668581,   65.24,1.10 (1.71%)
32,Walmart Inc.,WMT,0.606018,   99.76,0.21 (0.21%)
33,McDonald's Corporation,MCD,0.602699,   183.29,0.12 (0.07%)
34,Philip Morris International Inc.,PM,0.577707,   87.15,0.00 (0.00%)
35,Abbott Laboratories,ABT,0.570149,   76.81,0.68 (0.89%)
36,Oracle Corporation,ORCL,0.569466,   52.75,0.27 (0.51%)
37,International Business Machines Corporation,IBM,0.539012,   139.69,0.44 (0.32%)
38,DowDuPont Inc.,DWDP,0.537956,   55.95,0.98 (1.77%)
39,Adobe Inc.,ADBE,0.537588,   259.10,0.20 (0.08%)
